fake_news_domain,category
weaselzippers.us,unreliable
webdaily.com,fake
weeklystandard.com,political
weeklyworldnews.com,fake
weshapelife.org,conspiracy
westernjournalism.com,bias
whatdoesitmean.com,conspiracy
whatreallyhappened.com,conspiracy
whitepower.com,hate
whowhatwhy.com,unreliable
whowhatwhy.org,conspiracy
whydontyoutrythis.com,junksci
wikileaks.com,unreliable
wikileaks.org,unreliable
wikispooks.com,conspiracy
williambanzai7.blogspot.com,satire
willyloman.wordpress.com,conspiracy
winkprogress.com,satire
winningdemocrats.com,bias
witscience.org,satire
wnd.com,bias
wolfstreet.com,unreliable
wonkie.com,satire
worldnewsdailyreport.com,satire
worldnewspolitics.com,bias
worldpoliticsnow.com,fake
worldpoliticsus.com,fake
worldrumor.com,fake
worldstoriestoday.com,fake
worldtruth.tv,conspiracy
worldwidehealthy.com,junksci
wtoe5news.com,fake
wundergroundmusic.com,satire
x22report.com,conspiracy
yellowhammernews.com,political
yesimright.com,fake
youngcons.com,bias
yourfunpage.com,fake
yournationnews.com,clickbait
yournewswire.com,clickbait
zerohedge.com,conspiracy
zootfeed.com,conspiracy
